game,score,date
mult_11,23,2024-07-10 12:30:00
mult_11,21,2024-07-11 14:00:00
mult_11,18,2024-07-12 15:30:00
mult_11,16,2024-07-13 17:00:00
mult_11,12,2024-07-14 18:30:00
add_to_10,15,2024-07-10 12:45:00
add_to_10,20,2024-07-11 14:15:00
add_to_10,22,2024-07-12 15:45:00
mult_11,4,2024-07-19 6:43:40
mult_11,4,2024-07-19 7:43:40
mult_11,5,2024-07-19 14:43:40
mult_11,4,2024-07-19 14:58:27
mult_11,4,2024-07-19 15:00:16
mult_11,4,2024-07-19 15:02:20
mult_11,4,2024-07-19 15:03:14
mult_11,5,2024-07-19 15:04:29
mult_11,5,2024-07-19 15:06:07
mult_11,5,2024-07-19 15:06:45
mult_11,0,2024-07-19 15:10:56
mult_11,0,2024-07-19 15:12:28
mult_11,0,2024-07-19 15:13:50
mult_11,0,2024-07-19 15:14:28
mult_11,0,2024-07-19 15:16:04
mult_11,0,2024-07-19 15:16:51
mult_11,1,2024-07-19 15:17:30
mult_11,0,2024-07-19 15:23:12
mult_11,0,2024-07-19 15:23:33
mult_11,0,2024-07-19 15:24:14
mult_11,1,2024-07-19 15:24:52
mult_11,1,2024-07-19 15:25:11
mult_11,0,2024-07-19 15:25:51
mult_11,0,2024-07-19 15:26:38
mult_11,1,2024-07-19 15:51:46
mult_11,0,2024-07-19 15:53:37
mult_11,0,2024-07-19 15:54:30
mult_11,0,2024-07-19 15:55:03
mult_11,0,2024-07-19 15:58:25
mult_11,0,2024-07-19 15:59:13
mult_11,0,2024-07-19 16:00:03
mult_11,0,2024-07-19 16:00:37
mult_11,0,2024-07-19 16:01:13
mult_11,0,2024-07-19 16:02:04
mult_11,0,2024-07-19 16:04:16
mult_11,0,2024-07-19 16:04:48
mult_11,0,2024-07-19 16:07:01
mult_11,1,2024-07-19 16:08:13
mult_11,3,2024-07-19 16:10:48
mult_11,1,2024-07-19 16:12:12
random_game,6,2024-07-29 09:39:46
random_game,1,2024-07-29 09:41:09
random_game,3,2024-07-29 09:42:24
random_game,0,2024-07-29 09:43:22
